record_id,platform,content_type,comment_id,thread_id,video_id,video_title,channel_title,video_url,video_published_at,theme,raw_text,author_hash,comment_published_at,comment_updated_at,like_count,reply_count,can_reply,is_public,viewer_rating,moderation_status,collected_at,collection_status,rejection_reason
YT_UgwAl4CQHRgULqQYPAF4AaABAg,YouTube,top_level_comment,UgwAl4CQHRgULqQYPAF4AaABAg,UgwAl4CQHRgULqQYPAF4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,"Mujurlah aqu dari dulu x sokong, yang sokong tu 😂😂😂😂harap berubahlah😂😂😂😂😂",21d1fbf5241442ec184e,2026-05-29T03:23:00Z,2026-05-29T03:23:00Z,0,0,True,True,none,,2026-06-17T15:11:41.175510+00:00,raw,
YT_Ugyi8-pO64-YA8FlInF4AaABAg,YouTube,top_level_comment,Ugyi8-pO64-YA8FlInF4AaABAg,Ugyi8-pO64-YA8FlInF4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,600 cukup ke setahun dah la barang kene pilih terbaik,21d1fbf5241442ec184e,2026-05-29T03:20:12Z,2026-05-29T03:20:12Z,0,0,True,True,none,,2026-06-17T15:11:41.175538+00:00,raw,
YT_UgzH4TKyfT1tk_PXCSZ4AaABAg,YouTube,top_level_comment,UgzH4TKyfT1tk_PXCSZ4AaABAg,UgzH4TKyfT1tk_PXCSZ4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Lama lama rosaklah Malaysia ni,21d1fbf5241442ec184e,2026-05-29T03:18:38Z,2026-05-29T03:18:38Z,0,0,True,True,none,,2026-06-17T15:11:41.175553+00:00,raw,
YT_Ugz9XPYJPmm3ls-I3414AaABAg,YouTube,top_level_comment,Ugz9XPYJPmm3ls-I3414AaABAg,Ugz9XPYJPmm3ls-I3414AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Ade lagi ke yang sokong anuar,21d1fbf5241442ec184e,2026-05-29T03:17:25Z,2026-05-29T03:17:25Z,0,0,True,True,none,,2026-06-17T15:11:41.175565+00:00,raw,
YT_UgxxVZ9WXaJuhrBDLHh4AaABAg,YouTube,top_level_comment,UgxxVZ9WXaJuhrBDLHh4AaABAg,UgxxVZ9WXaJuhrBDLHh4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Inilah anuar bodoh bukan main,21d1fbf5241442ec184e,2026-05-29T03:16:33Z,2026-05-29T03:16:33Z,0,0,True,True,none,,2026-06-17T15:11:41.175577+00:00,raw,
YT_UgxuUzLySttcBa6IN4R4AaABAg,YouTube,top_level_comment,UgxuUzLySttcBa6IN4R4AaABAg,UgxuUzLySttcBa6IN4R4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Menteri kewangan Malaysia 2026,10b08ce4532f10d4fc54,2026-04-06T14:40:04Z,2026-04-06T14:40:04Z,0,0,True,True,none,,2026-06-17T15:11:41.175590+00:00,raw,
YT_Ugz0Cuao7ur1WJhzKtl4AaABAg,YouTube,top_level_comment,Ugz0Cuao7ur1WJhzKtl4AaABAg,Ugz0Cuao7ur1WJhzKtl4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Sambil thu hal org😮😢,d3d573aeab614031b1e9,2026-04-02T05:06:27Z,2026-04-02T05:06:27Z,0,0,True,True,none,,2026-06-17T15:11:41.175602+00:00,raw,
YT_UgxWkG2zANXu6Z77Ert4AaABAg,YouTube,top_level_comment,UgxWkG2zANXu6Z77Ert4AaABAg,UgxWkG2zANXu6Z77Ert4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Home division,d3d573aeab614031b1e9,2026-04-02T05:06:09Z,2026-04-02T05:06:09Z,0,0,True,True,none,,2026-06-17T15:11:41.175613+00:00,raw,
YT_UgzFNwCJVaD9pv5m-XN4AaABAg,YouTube,top_level_comment,UgzFNwCJVaD9pv5m-XN4AaABAg,UgzFNwCJVaD9pv5m-XN4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Itulah Malaysia kita,21d1fbf5241442ec184e,2026-04-01T07:14:58Z,2026-04-01T07:14:58Z,0,0,True,True,none,,2026-06-17T15:11:41.175624+00:00,raw,
YT_Ugz1ihrY569Mdvq_FKZ4AaABAg,YouTube,top_level_comment,Ugz1ihrY569Mdvq_FKZ4AaABAg,Ugz1ihrY569Mdvq_FKZ4AaABAg,0zi0v_kJ7BE,"Belanjawan 2026: Bantuan tunai STR dikurang RM300, Sara naik",KiniTV,https://www.youtube.com/watch?v=0zi0v_kJ7BE,2025-10-13T05:24:51Z,cost_of_living_public_policy,Dikurangkan dari yang memerlukan dan diagihkan kepada yang tidak memerlukan 100 Semua warganegara Malaysia 😢,96e15ef7b1d18c5705c6,2026-01-25T15:41:48Z,2026-01-25T15:41:48Z,0,0,True,True,none,,2026-06-17T15:11:41.175639+00:00,raw,
